primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Mike Cahill,2,450000.0,1685985.6666666667,5057957.0,7.294719666666666
Jeremy Saulnier,2,2710000.0,2122252.5,4244505.0,-0.09900922380952382
Roland Joffé,2,35200000.0,847317.2,4236586.0,-0.9764291895238095
Youssef Delara,3,2650000.0,840924.6,4204623.0,-0.44525344
Paul Schrader,3,2916666.6666666665,1337262.0,4011786.0,-0.5428314952380952
David L. Hunt,2,5375000.0,1000046.5,4000186.0,-0.8888837222222223
David Lowery,2,2550000.0,1922395.5,3844791.0,12.9564109
Gurinder Chadha,2,13333333.333333334,547646.3333333334,3285878.0,-0.9452353666666667
Rob Zombie,2,1500000.0,1231929.0,2463858.0,-0.178714
Marcel Walz,2,6480000.0,348705.8,1743529.0,-0.9625750733333334
Eugene Jarecki,2,4909090.909090909,157151.81818181818,1728670.0,-0.9458097178683388
Michael Berry,2,4100000.0,64902.0,1557648.0,-0.9823477391304346
William Winckler,2,3478723.404255319,13233.404255319148,621970.0,-0.9995588865248228
Joe Swanberg,2,213333.33333333334,155908.0,467724.0,-0.4399142857142857
Travis Legge,2,28000.0,1210.6666666666667,3632.0,-0.9697333333333334
David DeCoteau,2,1000000.0,0.0,0.0,-1.0
Jason Trost,2,46666.666666666664,0.0,0.0,-1.0
Dominic Burns,2,1850000.0,0.0,0.0,-1.0
Joel Paul Reisig,2,416666.6666666667,0.0,0.0,-1.0
